,Neighborhood,House Value,POPULATION_2010,PCT_WHITE
0,Montbello,174000,30348,8.17
1,Gateway - Green Valley Ranch,208600,29201,23.98
2,Hampden,297900,17547,66.96
3,Westwood,152600,15486,11.39
4,Capitol Hill,197600,14708,78.56
5,Hampden South,323400,14370,72.44
6,Mar Lee,180100,12452,24.21
7,Windsor,118300,12589,54.84
8,Five Points,336900,12712,56.95
9,Virginia Village,309000,12844,65.81
10,Washington Virginia Vale,272600,13030,61.42
11,Speer,337200,10954,81.9
12,Harvey Park,221600,11525,35.32
13,East Colfax,193600,10191,32.37
14,Congress Park,463100,10235,82.35
15,Sunnyside,302600,9726,34.15
16,Marston,220900,11132,73.67
17,Ruby Hill,181400,9820,20.9
18,Bear Valley,265100,8889,52.57
19,University,344200,9375,83.16
20,West Highland,409800,8540,75.78
21,North Park Hill,340000,9382,43.56
22,West Colfax,272000,9740,29.52
23,Harvey Park South,253800,8393,43.38
24,Lowry Field,488400,8067,73.84
25,Villa Park,160000,8758,17.0
26,South Park Hill,506600,8590,77.42
27,Highland,365000,8429,57.42
28,Cheesman Park,263200,7971,82.15
29,Athmar Park,181000,8898,20.59
30,Fort Logan,271700,8532,63.44
31,Hilltop,788600,8190,84.19
32,Northeast Park Hill,214100,7822,13.53
33,Berkeley,365500,8112,68.85
34,University Park,520800,7491,83.47
35,Sloan Lake,395700,7238,59.05
36,Elyria Swansea,127500,6401,8.81
37,Washington Park,626300,6905,92.05
38,Washington Park West,490400,6393,88.0
39,College View - South Platte,167500,6498,18.9
40,Hale,355300,6936,73.99
41,University Hills,291100,5327,82.15
42,Whittier,334500,4831,41.71
43,Lincoln Park,239500,6119,41.15
44,Montclair,358800,5456,77.8
45,Barnum,157300,6111,18.02
46,North Capitol Hill,328200,5823,73.55
47,Cherry Creek,686500,5589,87.6
48,Platt Park,419000,5393,88.6
49,Baker,337500,4879,58.5
50,Goldsmith,333900,5808,52.39
51,Barnum West,172900,5376,21.41
52,Cole,246300,4651,19.59
53,Belcaro,768200,4172,90.51
54,Clayton,222500,4336,16.12
55,Southmoor Park,395100,3826,82.85
56,Union Station,466300,4348,81.35
57,City Park West,359100,4844,61.54
58,Regis,274700,3934,63.45
59,Kennedy,,4464,35.55
60,Chaffee Park,205600,3874,30.82
61,Cory - Merrill,449400,3892,88.39
62,Valverde,145500,3941,15.05
63,Globeville,136900,3687,25.77
64,Wellshire,616200,3133,91.32
65,CBD,322000,3648,75.22
66,Indian Creek,182300,3096,72.93
67,Skyland,291300,3106,28.4
68,Country Club,898900,3001,91.3
69,City Park,415600,2907,75.06
70,Rosedale,345100,2553,83.98
71,Jefferson Park,332200,2552,38.83
72,Overland,216700,2218,60.28
73,Civic Center,387000,1577,78.0
74,Sun Valley,,1448,7.67
75,Stapleton,470500,13948,69.67
76,DIA,142000,1165,43.26
77,Auraria,,705,78.72
